Contexts,generated question
"Visit this website (http://openstaxcollege. org/l/sex_selection) for informative videos on sexual selection. In monogamous systems, one male and one female are paired for at least one breeding season. In some animals, such as the gray wolf, these associations can last much longer, even a lifetime. Several explanations have been proposed for this type of.",What can be found on the website mentioned in the context?
Chromoplasts make and store pigments that give petals and fruit their orange and yellow colors.,What do chromoplasts make and store that give petals and fruit their orange and yellow colors?
Lipids are made of long chains consisting almost solely of carbon and hydrogen. These long chains are called fatty acids. Fatty acids may be saturated or unsaturated. Figure below shows an example of each type of fatty acid.,What are the long chains in lipids called?
"A combustion reaction occurs when a substance reacts quickly with oxygen (O 2 ). For example, in the Figure below , charcoal is combining with oxygen. Combustion is commonly called burning, and the substance that burns is usually referred to as fuel. The products of a complete combustion reaction include carbon dioxide (CO 2 ) and water vapor (H 2 O). The reaction typically gives off heat and light as well. The general equation for a complete combustion reaction is:.",What is the general equation for a complete combustion reaction?
Many hydrocarbons are cyclic and adopt specific three-dimensional structures that influence their physical and chemical properties.,What influences the physical and chemical properties of cyclic hydrocarbons?
"When done regularly, aerobic activities, such as cycling, make the heart stronger. Other aerobic activities include mowing lawn, shoveling snow and cross country skiing.",What are some examples of aerobic activities?
Populations usually grow bigger when they have what they need. How fast they grow depends on birth and death rates. They grow more slowly as they get close to the carrying capacity. This is the biggest population the environment can support.,What is the biggest population that the environment can support called?
"Water molecules move about continuously due to their kinetic energy. When a crystal of sodium chloride is placed into water, the water�s molecules collide with the crystal lattice. Recall that the crystal lattice is composed of alternating positive and negative ions. Water is attracted to the sodium chloride crystal because water is polar and has both a positive and a negative end. The positively charged sodium ions in the crystal attract the oxygen end of the water molecules because they are partially negative. The negatively charged chloride ions in the crystal attract the hydrogen end of the water molecules because they are partially positive. The action of the polar water molecules takes the crystal lattice apart (see image below).",
"6.3 The Laws of Thermodynamics In studying energy, scientists use the term �system� to refer to the matter and its environment involved in energy transfers. Everything outside of the system is called the surroundings. Single cells are biological systems. Systems can be thought of as having a certain amount of order. It takes energy to make a system more ordered. The more ordered a system is, the lower its entropy. Entropy is a measure of the disorder of a system. As a system becomes more disordered, the lower its energy and the higher its entropy become. A series of laws, called the laws of thermodynamics, describe the properties and processes of energy transfer. The first law states that the total amount of energy in the universe is constant. This means that energy can�t be created or destroyed, only transferred or transformed. The second law of thermodynamics states that every energy transfer involves some loss of energy in an unusable form, such as heat energy, resulting in a more disordered system. In other words, no energy transfer is completely efficient and tends toward disorder.",What term is used to refer to everything outside of the system in the study of energy?
"Boiling Points When the vapor pressure increases enough to equal the external atmospheric pressure, the liquid reaches its boiling point. The boiling point of a liquid is the temperature at which its equilibrium vapor pressure is equal to the pressure exerted on the liquid by its gaseous surroundings. For liquids in open containers, this pressure is that due to the earth�s atmosphere. The normal boiling point of a liquid is defined as its boiling point when surrounding pressure is equal to 1 atm (101.3 kPa). Figure 10.24 shows the variation in vapor pressure with temperature for several different.",What is the boiling point of a liquid defined as when the surrounding pressure is equal to 1 atm?
Increasing the temperature increases the average kinetic energy of the N2molecules.,What happens to the average kinetic energy of N2 molecules when the temperature increases?
"Fossil fuels include coal, oil, and natural gas. Fossil fuels are the greatest energy source for modern society. Millions of years ago, plants used energy from the Sun to form carbon compounds. These compounds were later transformed into coal, oil, or natural gas. Fossil fuels take millions of years to form. For this reason, they are non-renewable. We will use most fossil fuels up in a matter of decades. Burning fossil fuels releases large amounts of pollution. The most important of these may be the greenhouse gas, carbon dioxide.",What are some examples of fossil fuels?
"The plasma membrane also contains other molecules, primarily other lipids and proteins. The green molecules in Figure above , for example, are the lipid cholesterol. Molecules of cholesterol help the plasma membrane keep its shape. Many of the proteins in the plasma membrane assist other substances in crossing the membrane.",What molecules help the plasma membrane keep its shape?
"treat genetic disorders. For example, copies of a normal gene might be inserted into a patient with a defective gene. This is called gene therapy . Ideally, it can cure a genetic disorder.",What is the process called when copies of a normal gene are inserted into a patient with a defective gene to treat genetic disorders?
Children as young as 2 years of age can be vaccinated against viral meningitis.,At what age can children be vaccinated against viral meningitis?
"If you�re like Tanya in this picture, you prefer your iced tea sweetened with sugar. Sweetened iced tea is a solution in which solid sugar (the solute) is dissolved in cold liquid tea, which is mostly water (the solvent). When you add sugar to tea, particles of water pull apart particles of sugar. The particles of sugar spread throughout the tea, making all of it taste sweet.",What is the solute in sweetened iced tea?
"Sympatric speciation occurs when groups from the same species stop mating because of something other than physical or geographic separation. The behavior of two groups that live in the same region is an example of such separation. The separation may be caused by different mating seasons, for example. Sympatric speciation is more difficult to identify.",
Immovable joints allow no movement because the bones at these joints are held securely together by dense collagen. The bones of the skull are connected by immovable joints.,What type of joints allow no movement because the bones are held securely together?
"Meiosis I begins after DNA replicates during interphase of the cell cycle. In both meiosis I and meiosis II , cells go through the same four phases as mitosis - prophase, metaphase, anaphase and telophase. However, there are important differences between meiosis I and mitosis. The eight stages of meiosis are summarized below. The stages will be described for a human cell, starting with 46 chromosomes.",What are the four phases that cells go through in both meiosis I and meiosis II?
"Arteries Serving the Upper Limbs As the subclavian artery exits the thorax into the axillary region, it is renamed the axillary artery. Although it does branch and supply blood to the region near the head of the humerus (via the humeral circumflex arteries), the majority of the vessel continues into the upper arm, or brachium, and becomes the brachial artery (Figure 20.31). The brachial artery supplies blood to much of the brachial region and divides at the elbow into several smaller branches, including the deep brachial arteries, which provide blood to the posterior surface of the arm, and the ulnar collateral arteries, which supply blood to the region of the elbow. As the brachial artery approaches the coronoid fossa, it bifurcates into the radial and ulnar arteries, which continue into the forearm, or antebrachium. The radial artery and ulnar artery parallel their namesake bones, giving off smaller branches until they reach the wrist, or carpal region. At this level, they fuse to form the superficial and deep palmar arches that supply blood to the hand, as well as the digital arteries that supply blood to the digits. Figure 20.32 shows the distribution of systemic arteries from the heart into the upper limb. Table 20.9 summarizes the arteries serving the upper limbs.",What artery supplies blood to the brachial region and divides at the elbow into smaller branches?
"Some of the best known types of fungi are mushrooms, which can be edible or poisonous ( Figure below ). Many species are grown commercially, but others are harvested from the wild. When you order a pizza with mushrooms or add them to your salad, you are most likely eating Agaricus bisporus , known as white or button mushrooms, the most commonly eaten species. Other mushroom species are gathered from the wild for people to eat or for commercial sale. Many mushroom species are poisonous to humans. Some mushrooms will simply give you a stomachache, while others may kill you. Some mushrooms you can eat when they are cooked but are poisonous when raw. So if you find mushrooms in the wild, don't eat them until you are certain they are safe!.",What is the most commonly eaten species of mushroom?
"One way to keep iron from corroding is to keep it painted. The layer of paint prevents the water and oxygen necessary for rust formation from coming into contact with the iron. As long as the paint remains intact, the iron is protected from corrosion. Other strategies include alloying the iron with other metals. For example, stainless steel is mostly iron with a bit of chromium. The chromium tends to collect near the surface, where it forms an oxide layer that protects the iron. Zinc-plated or galvanized iron uses a different strategy. Zinc is more easily oxidized than iron because zinc has a lower reduction potential. Since zinc has a lower reduction potential, it is a more active metal. Thus, even if the zinc coating is scratched, the zinc will still oxidize before the iron. This suggests that this approach should work with other active metals. Another important way to protect metal is to make it the cathode in a galvanic cell. This is cathodic protection and can be used for metals other than just iron. For example, the rusting of underground iron storage tanks and pipes can be prevented or greatly reduced by connecting them to a more active metal such as zinc or magnesium (Figure 17.18). This is also used to protect the metal parts in water heaters. The more active metals (lower reduction potential) are called sacrificial anodes because as they get used up as they corrode (oxidize) at the anode. The metal being protected serves as the cathode, and so does not oxidize (corrode). When the anodes are properly monitored and periodically replaced, the useful lifetime of the iron storage tank can be greatly extended.",What are some strategies to prevent iron from corroding?
"Observations can happen on many scales. You can use a microscope to observe tiny things. You can use a telescope to observe distant things in space. To learn about the effects of climate change, you could observe Earth's surface. How would you make observations of Earth's surface? You could do this from the land surface or from space. Many important observations are made by orbiting satellites. These satellites have a bird's eye view of how the planet is changing ( Figure below ).","""How can you make observations of Earth's surface?"""
"A compound is a unique substance that forms when two or more elements combine chemically. Compounds form as a result of chemical reactions. The elements in compounds are held together by chemical bonds. A chemical bond is a force of attraction between atoms or ions that share or transfer valence electrons. For a video introduction to compounds, go to this URL: http://www. youtube. com/watch?v=-HjMoTthEZ0 .",How are the elements in compounds held together?
"Usually, testing a hypothesis requires making observations or performing experiments. In this case, we will look into existing scientific literature to see if either of these hypotheses can be disproved, or if one or both can be supported by the data.",What is one way to test a hypothesis?
Basic to Bohr�s model is the idea of energy levels. Energy levels are areas located at fixed distances from the nucleus of the atom. They are the only places where electrons can be found. Energy levels are a little like rungs on a ladder. You can stand on one rung or another but not between the rungs. The same goes for electrons. They can occupy one energy level or another but not the space between energy levels.,Where are electrons found in an atom?
"Intrapleural pressure is the pressure of the air within the pleural cavity, between the visceral and parietal pleurae. Similar to intra-alveolar pressure, intrapleural pressure also changes during the different phases of breathing. However, due to certain characteristics of the lungs, the intrapleural pressure is always lower than, or negative to, the intra-alveolar pressure (and therefore also to atmospheric pressure). Although it fluctuates during inspiration and expiration, intrapleural pressure remains approximately �4 mm Hg throughout the breathing cycle. Competing forces within the thorax cause the formation of the negative intrapleural pressure. One of these forces relates to the elasticity of the lungs themselves�elastic tissue pulls the lungs inward, away from the thoracic wall. Surface tension of alveolar fluid, which is mostly water, also creates an inward pull of the lung tissue. This inward tension from the lungs is countered by opposing forces from the pleural fluid and thoracic wall. Surface tension within the pleural cavity pulls the lungs outward. Too much or too little pleural fluid would hinder the creation of the negative intrapleural pressure; therefore, the level must be closely monitored by the mesothelial cells and drained by the lymphatic system. Since the parietal pleura is attached to the thoracic wall, the natural elasticity of the chest wall opposes the inward pull of the lungs. Ultimately, the outward pull is slightly greater than the inward pull, creating the �4 mm Hg intrapleural pressure relative to the intraalveolar pressure. Transpulmonary pressure is the difference between the intrapleural and intra-alveolar pressures, and it determines the size of the lungs. A higher transpulmonary pressure corresponds to a larger lung.",What is the pressure of the air within the pleural cavity called?
"The angle at which light bends when it enters a different medium depends on its change in speed. The greater the change in speed, the greater the angle of refraction is. For example, light refracts more when it passes from air to diamond than it does when it passes from air to water. That�s because the speed of light is slower in diamond than it is in water.",What does the angle of refraction depend on when light enters a different medium?
The energy of electromagnetic waves depends on their frequency. Low-frequency waves have little energy and are normally harmless. High-frequency waves have a lot of energy and are potentially very harmful.,What does the energy of electromagnetic waves depend on?
Glaciers are incredibly powerful agents of erosion.,What are glaciers known for being powerful agents of?
"Catabolic Reactions Catabolic reactions break down large organic molecules into smaller molecules, releasing the energy contained in the chemical bonds. These energy releases (conversions) are not 100 percent efficient. The amount of energy released is less than the total amount contained in the molecule. Approximately 40 percent of energy yielded from catabolic reactions is directly transferred to the high-energy molecule adenosine triphosphate (ATP). ATP, the energy currency of cells, can be used immediately to power molecular machines that support cell, tissue, and organ function. This includes building new tissue and repairing damaged tissue. ATP can also be stored to fulfill future energy demands. The remaining 60 percent of the energy released from catabolic reactions is given off as heat, which tissues and body fluids absorb. Structurally, ATP molecules consist of an adenine, a ribose, and three phosphate groups (Figure 24.2). The chemical bond between the second and third phosphate groups, termed a high-energy bond, represents the greatest source of energy in a cell. It is the first bond that catabolic enzymes break when cells require energy to do work. The products of this reaction are a molecule of adenosine diphosphate (ADP) and a lone phosphate group (Pi). ATP, ADP, and Pi are constantly being cycled through reactions that build ATP and store energy, and reactions that break down ATP and release energy.",What molecule is considered the energy currency of cells?
"There are other units in chemistry that are important, and we will cover others in the course of the entire book. One of the fundamental quantities in science is temperature. Temperature is a measure of the average amount of energy of motion, or kinetic energy, a system contains. Temperatures are expressed using scales that use units called degrees, and there are several temperature scales in use. In the United States, the commonly used temperature scale is the Fahrenheit scale (symbolized by �F and spoken as �degrees Fahrenheit�). On this scale, the freezing point of liquid water (the temperature at which liquid water turns to solid ice) is 32�F, and the boiling point of water (the temperature at which liquid water turns to steam) is 212�F. Science also uses other scales to express temperature. The Celsius scale (symbolized by �C and spoken as �degrees Celsius�) is a temperature scale where 0�C is the freezing point of water and 100�C is the boiling point of water; the scale is divided into 100 divisions between these two landmarks and extended higher and lower. By comparing the Fahrenheit and Celsius scales, a conversion between the two scales can be determined: �C=(�F�32) � 59� Saylor URL: http://www. saylor. org/books.",What is temperature a measure of?
"Role of Feedback Loops The contribution of feedback loops to homeostasis will only be briefly reviewed here. Positive feedback loops are characterized by the release of additional hormone in response to an original hormone release. The release of oxytocin during childbirth is a positive feedback loop. The initial release of oxytocin begins to signal the uterine muscles to contract, which pushes the fetus toward the cervix, causing it to stretch. This, in turn, signals the pituitary gland to release more oxytocin, causing labor contractions to intensify. The release of oxytocin decreases after the birth of the child. The more common method of hormone regulation is the negative feedback loop. Negative feedback is characterized by the inhibition of further secretion of a hormone in response to adequate levels of that hormone. This allows blood levels of the hormone to be regulated within a narrow range. An example of a negative feedback loop is the release of glucocorticoid hormones from the adrenal glands, as directed by the hypothalamus and pituitary gland. As glucocorticoid concentrations in the blood rise, the hypothalamus and pituitary gland reduce their signaling to the adrenal glands to prevent additional glucocorticoid secretion (Figure 17.6).",What are the two types of feedback loops involved in hormone regulation?
"Asexual reproduction involves just one parent. It produces offspring that are genetically identical to the parent. Methods of asexual reproduction include binary fission, fragmentation, and budding.",What are some methods of asexual reproduction?
"Radiation has several important uses, including diagnosing and treating cancer.",What are some important uses of radiation?
"For thousands of years, humans have understood that characteristics such as eye color, hair color, or even flower color are passed from one generation to the next. The passing of characteristics from parent to offspring is called heredity . Humans have long been interested in understanding heredity. Many hereditary mechanisms were developed by scholars but were not properly tested or quantified. The scientific study of genetics did not begin until the late 19 th century. In experiments with garden peas, Austrian monk Gregor Mendel described the basic patterns of inheritance. Keep in mind that while we know about DNA and its role as the genetic material, Mendel did not know of the existence of DNA. Nor did he understand the concept of the chromosome or the process of meiosis, and yet, he was still able to correctly describe basic inheritance patterns.",What is the passing of characteristics from parent to offspring called?
Kidney failure may be treated with dialysis.,w cHoan kidney failure be treated?
Extending from the upper corners of the uterus are the two fallopian tubes. Each tube reaches (but is not attached to) one of the ovaries. The ovary end of the tube has a fringelike structure that moves in waves. The motion sweeps eggs from the ovary into the tube.,What structure sweeps eggs from the ovary into the fallopian tube?
"Each type of rock weathers in its own way. Certain types of rock are very resistant to weathering. Igneous rocks tend to weather slowly because they are hard. Water cannot easily penetrate them. Granite is a very stable igneous rock. Other types of rock are easily weathered because they dissolve easily in weak acids. Limestone is a sedimentary rock that dissolves easily. When softer rocks wear away, the more resistant rocks form ridges or hills.",What types of rock are very resistant to weathering?
The two stages of photosynthesis are the light reactions and the Calvin cycle. Do you see how the two stages are related?.,"""What are the two stages of photosynthesis called?"""
"An element, as defined in Chapter 1 ""Chemistry, Matter, and Measurement"", is a substance that cannot be broken down into simpler chemical substances. There are about 90 naturally occurring elements known on Earth. Using technology, scientists have been able to create nearly 30 additional elements that do not occur in nature. Today, chemistry recognizes 118 elements�some of which were created an atom at a time. Figure 2.1 ""Samples of Elements"" shows some of the chemical elements.",How many naturally occurring elements are known on Earth?
"A liquid is a state of matter in which particles can slip past one another and take the shape of their container. However, the particles cannot pull apart and spread out to take the volume of their container.",What is the state of matter in which particles can slip past one another and take the shape of their container?
"The troposphere is the lowest layer of the atmosphere. All of the air you breathe is in the troposphere. All of Earth's weather�wind, rain, snow, heat�is in the troposphere. The troposphere is the lowest and most important layer of the atmosphere!.",What is the lowest layer of the atmosphere where all of Earth's weather occurs?
"In order to explain the observed phenomenon, scientists develop a number of possible explanations, or hypotheses. A hypothesis is a suggested explanation for a phenomenon or a suggested explanation for a relationship between many phenomena. Hypotheses are always based on evidence that can be tested by observation or experimentation. Scientific investigations are required to test hypotheses. Scientists mostly base hypotheses on prior observations or on extensions of existing scientific explanations.",What are hypotheses based on?
"An electric generator is a device that changes kinetic energy to electrical energy through electromagnetic induction. A simple diagram of an electric generator is shown in Figure below . In a generator, some form of energy is applied to turn a shaft. This causes a coil of wire to rotate between opposite poles of a magnet. Because the coil is rotating in a magnetic field, electric current is generated in the wire. If the diagram in Figure below looks familiar to you, that�s because a generator is an electric motor in reverse. Look back at the electric motor in Figure above . If you were to mechanically turn the shaft of the motor (instead of using electromagnetism to turn it), the motor would generate electricity just like an electric generator. You can learn how to make a very simple electric generator by watching the video at the URL below. Making your own generator will help you understand how a generator works.",What causes electric current to be generated in a wire in an electric generator?
"Gravity has traditionally been defined as a force of attraction between things that have mass. According to this conception of gravity, anything that has mass, no matter how small, exerts gravity on other matter. Gravity can act between objects that are not even touching. In fact, gravity can act over very long distances. However, the farther two objects are from each other, the weaker is the force of gravity between them. Less massive objects also have less gravity than more massive objects.","According to the traditional definition, what is gravity defined as?"
Without Coriolis Effect the global winds would blow north to south or south to north. But Coriolis makes them blow northeast to southwest or the reverse in the Northern Hemisphere. The winds blow northwest to southeast or the reverse in the southern hemisphere.,What effect causes the global winds to blow northeast to southwest or the reverse in the Northern Hemisphere?
The remaining 5% are scattered around other plate boundaries. A few earthquakes take place away from plate boundaries. These are intraplate earthquakes.,Where do a few earthquakes take place away from?
"Muscles That Position the Pectoral Girdle Muscles that position the pectoral girdle are located either on the anterior thorax or on the posterior thorax (Figure 11.22 and Table 11.8). The anterior muscles include the subclavius, pectoralis minor, and serratus anterior. The posterior muscles include the trapezius, rhomboid major, and rhomboid minor. When the rhomboids are contracted, your scapula moves medially, which can pull the shoulder and upper limb posteriorly.",What muscles are located on the anterior and posterior thorax and position the pectoral girdle?
"As a cell prepares to divide, its DNA first forms one or more structures called chromosomes. A chromosome consists of DNA and protein molecules coiled into a definite shape. Chromosomes are circular in prokaryotes and rodlike in eukaryotes. You can see an example of a human chromosome in Figure below . The rest of the time, DNA looks like a tangled mass of strings. In this form, it would be very difficult to copy and divide.",What are chromosomes made of?
An ionic compound contains positive and negative ions.,What types of ions does an ionic compound contain?
"Fertilization is the union of a sperm and egg, resulting in the formation of a zygote.",What is the result of the union of a sperm and egg?
"distinctly differ from the adult form, spending 3 to 15 years as suspension feeders. Once they attain sexual maturity, the adults reproduce and die within days. Lampreys possess a notochord as adults; however, this notochord is surrounded by a cartilaginous structure called an arcualia, which may resemble an evolutionarily early form of the vertebral column.",What is the structure surrounding the notochord in lampreys called?
"The atomic number of tungsten is 74. Therefore, in a neutral atom of tungsten, there are 74 electrons. The atomic number of argon is 18. Therefore, in a neutral atom of argon, there are 18 electrons.",How many electrons are there in a neutral atom of tungsten and argon?
"The information listed at the right of the label tells you what to look for. At the top of the label, look for the serving size. The serving size tells you how much of the food you should eat to get the nutrients listed on the label. A cup of food from the label pictured below is a serving. The calories in one serving are listed next. In this food, there are 250 calories per serving.",What does the serving size on a food label tell you?
"In plants, the embryo develops inside of the female plant after fertilization. Algae do not keep the embryo inside of themselves but release it into water. This was the first feature to evolve that separated plants from green algae. This is also the only adaptation shared by all plants.",What is the first feature that evolved and separated plants from green algae?
"Examples of behaviors with annual cycles include migration and hibernation. Both are innate behaviors. They are triggered by changes in the environment, such as the days growing shorter in the fall.",What are examples of behaviors with annual cycles?
"Under what conditions then, do gases behave least ideally? When a gas is put under high pressure, its molecules are forced closer together as the empty space between the particles is diminished. A decrease in the empty space means that the assumption that the volume of the particles themselves is negligible is less valid. When a gas is cooled, the decrease in kinetic energy of the particles causes them to slow down. If the particles are moving at slower speeds, the attractive forces between them are more prominent. Another way to view it is that continued cooling the gas will eventually turn it into a liquid and a liquid is certainly not an ideal gas anymore (see liquid nitrogen in the Figure below ). In summary, a real gas deviates most from an ideal gas at low temperatures and high pressures. Gases are most ideal at high temperature and low pressure.",Under what conditions do gases behave least ideally?
"Some regions of the electron cloud are denser than others. The denser regions are areas where electrons are most likely to be. These regions are called orbitals . Each orbital has a maximum of just two electrons. Different energy levels in the cloud have different numbers of orbitals. Therefore, different energy levels have different maximum numbers of electrons. Table below lists the number of orbitals and electrons for the first four energy levels. Energy levels farther from the nucleus have more orbitals. Therefore, these levels can hold more electrons.",What are the regions in the electron cloud where electrons are most likely to be called?
Compounds like sodium chloride form structures called crystals. A crystal is a rigid framework of many ions locked together in a repeating pattern. Ions are electrically charged forms of atoms. You can see a crystal of sodium chloride in the Figure below . It is made up of many sodium and chloride ions.,What are compounds like sodium chloride made up of?
"Ganglia A ganglion is a group of neuron cell bodies in the periphery. Ganglia can be categorized, for the most part, as either sensory ganglia or autonomic ganglia, referring to their primary functions. The most common type of sensory ganglion is a dorsal (posterior) root ganglion. These ganglia are the cell bodies of neurons with axons that are sensory endings in the periphery, such as in the skin, and that extend into the CNS through the dorsal nerve root. The ganglion is an enlargement of the nerve root. Under microscopic inspection, it can be seen to include the cell bodies of the neurons, as well as bundles of fibers that are the posterior nerve root (Figure 13.19). The cells of the dorsal root ganglion are unipolar cells, classifying them by shape. Also, the small round nuclei of satellite cells can be seen surrounding�as if they were orbiting�the neuron cell bodies.",What are the two main categories of ganglia based on their primary functions?
"Recall from the kinetic-molecular theory that gas particles move randomly and in straight lines until they elastically collide with either other gas particles or with one of the walls of the container. It is these collisions with the walls of the container that defines the pressure of the gas. Four variables are used to describe the condition of a gas. They are pressure , volume , temperature , and the amount of the gas as measured by the number moles . We will examine separately how the volume, temperature, and amount of gas each affect the pressure of an enclosed gas sample.",What are the four variables used to describe the condition of a gas?
"Strawberry plants have horizontal stems called stolons that run over the ground surface. If they take root, they form new plants.",What are the horizontal stems of strawberry plants called?
"The hypothalamus also produces hormones that directly regulate body processes. For example, it produces antidiuretic hormone. This hormone travels to the kidneys and stimulates them to conserve water by producing more concentrated urine.",What hormone does the hypothalamus produce to stimulate the kidneys to conserve water?
Most animal behaviors are controlled by both genes and experiences in a given environment.,What factors control most animal behaviors in a given environment?
"How metalloids behave in chemical interactions with other elements depends mainly on the number of electrons in the outer energy level of their atoms. Metalloids have from three to six electrons in their outer energy level. Boron, pictured in the Figure below , is the only metalloid with just three electrons in its outer energy level. It tends to act like metals by giving up its electrons in chemical reactions. Metalloids with more than four electrons in their outer energy level (arsenic, antimony, and tellurium) tend to act like nonmetals by gaining electrons in chemical reactions. Those with exactly four electrons in their outer energy level (silicon and germanium) may act like either metals or nonmetals, depending on the other elements in the reaction.",What determines how metalloids behave in chemical interactions with other elements?
"Summary Changes of state are examples of phase changes, or phase transitions. All phase changes are accompanied by changes in the energy of a system. Changes from a more-ordered state to a less-ordered state (such as a liquid to a gas) areendothermic. Changes from a less-ordered state to a more-ordered state (such as a liquid to a solid) are always exothermic. The conversion of a solid to a liquid is called fusion (or melting). The energy required to melt 1 mol of a substance is its enthalpy of fusion (?Hfus). The energy change required to vaporize 1 mol of a substance is the enthalpy of vaporization (?Hvap). The direct conversion of a solid to a gas is sublimation. The amount of energy needed to sublime 1 mol of a substance is its enthalpy of sublimation (?Hsub) and is the sum of the enthalpies of fusion and vaporization. Plots of the temperature of a substance versus heat added or versus heating time at a constant rate of heating are calledheating curves. Heating curves relate temperature changes to phase transitions. A superheated liquid, a liquid at a temperature and pressure at which it should be a gas, is not stable. A cooling curve is not exactly the reverse of the heating curve because many liquids do not freeze at the expected temperature. Instead, they form a supercooled liquid, a metastable liquid phase that exists below the normal melting point. Supercooled liquids usually crystallize on standing, or adding a seed crystal of the same or another substance can induce crystallization.",What is the term for the energy change that occurs when a substance changes from a solid to a liquid?
Nuclear reactors heat water to steam to drive a turbine for generation of electricity.,What is used to drive a turbine for the generation of electricity in nuclear reactors?
"The cell cycle is a repeating series of events, characterizing the life of a eukaryotic cell.",What is the cell cycle?
Gravity keeps the Moon orbiting Earth. Gravity keeps the planets orbiting the Sun.,What does gravity keep the Moon and planets doing?
Sexual reproduction involves haploid gametes and produces a diploid zygote through fertilization.,What is the result of sexual reproduction involving haploid gametes and fertilization?
"Mendel investigated seven different characteristics in pea plants. In this chart, cotyledons refer to the tiny leaves inside seeds. Axial pods are located along the stems. Terminal pods are located at the ends of the stems.","What are cotyledons, axial pods, and terminal pods?"
Transform faults are the site of massive earthquakes.,What type of geological feature are transform faults known for?
"Inside the nasal area of the skull, the nasal cavity is divided into halves by the nasal septum. The upper portion of the nasal septum is formed by the perpendicular plate of the ethmoid bone and the lower portion is the vomer bone. Each side of the nasal cavity is triangular in shape, with a broad inferior space that narrows superiorly. When looking into the nasal cavity from the front of the skull, two bony plates are seen projecting from each lateral wall. The larger of these is the inferior nasal concha, an independent bone of the skull. Located just above the inferior concha is the middle nasal concha, which is part of the ethmoid bone. A third bony plate, also part of the ethmoid bone, is the superior nasal concha. It is much smaller and out of sight, above the middle concha. The superior nasal concha is located just lateral to the perpendicular plate, in the upper nasal cavity.",What divides the nasal cavity into halves?
Alkenes are unsaturated hydrocarbons with at least one double bond between carbon atoms.,What type of hydrocarbons have at least one double bond between carbon atoms?
"The diatoms are unicellular photosynthetic protists that encase themselves in intricately patterned, glassy cell walls composed of silicon dioxide in a matrix of organic particles (Figure 23.18). These protists are a component of freshwater and marine plankton. Most species of diatoms reproduce asexually, although some instances of sexual reproduction and sporulation also exist. Some diatoms exhibit a slit in their silica shell, called a raphe. By expelling a stream of mucopolysaccharides from the raphe, the diatom can attach to surfaces or propel itself in one direction.",What are the cell walls of diatoms composed of?
"Carboxylic acids are weak acids (see the chapter on acids and bases), meaning they are not 100% ionized in water. Generally only about 1% of the molecules of a carboxylic acid dissolved in water are ionized at any given time. The remaining molecules are undissociated in solution. We prepare carboxylic acids by the oxidation of aldehydes or alcohols whose �OH functional group is located on the carbon atom at the end of the chain of carbon atoms in the alcohol:.",How are carboxylic acids prepared?
